year,julian-day,standard-time,E-MD,GW,K-plant,P-MD,P-PD,leaftemp,treatment
2023,201,12,,,,0.0636919670497518,,,
2023,201,15,1.314790773007521,20.87377028028922,0.046531839138072205,,,,
2023,201,16,1.314790773007521,20.87377028028922,0.046531839138072205,,,,
2023,201,17,1.314790773007521,20.87377028028922,0.046531839138072205,,,,
2023,201,3,,,,,0.035255023282741806,,
2023,201,4,,,,,0.035255023282741806,,
2023,201,5,,,,,0.035255023282741806,,
2023,201,7,0.8783506001510526,25.87314520612333,0.03759214868635661,,,,
2023,201,8,0.8783506001510526,25.87314520612333,0.03759214868635661,,,,
2023,201,9,0.8783506001510526,25.87314520612333,0.03759214868635661,,,,
2023,202,12,,,,0.08391331402117129,,,
2023,202,15,0.7065153540994217,12.508500511013045,0.03355450434598554,,,,
2023,202,16,0.7065153540994217,12.508500511013045,0.03355450434598554,,,,
2023,202,17,0.7065153540994217,12.508500511013045,0.03355450434598554,,,,
2023,202,3,,,,,0.04409565740035927,,
2023,202,4,,,,,0.04409565740035927,,
2023,202,5,,,,,0.04409565740035927,,
2023,202,7,0.7127068264077194,27.33018067101284,0.03287835754045239,,,,
2023,202,8,0.7127068264077194,27.33018067101284,0.03287835754045239,,,,
2023,202,9,0.7127068264077194,27.33018067101284,0.03287835754045239,,,,
2023,221,12,,,,0.07493594456564091,,,
2023,221,15,0.7677307430519899,21.408720964441883,0.02839492216820239,,,,
2023,221,16,0.7677307430519899,21.408720964441883,0.02839492216820239,,,,
2023,221,17,0.7677307430519899,21.408720964441883,0.02839492216820239,,,,
2023,221,3,,,,,0.03415543946467998,,
2023,221,4,,,,,0.03415543946467998,,
2023,221,5,,,,,0.03415543946467998,,
2023,221,7,0.5524376396291371,17.984904506931827,0.019970812034900667,,,,
2023,221,8,0.5524376396291371,17.984904506931827,0.019970812034900667,,,,
2023,221,9,0.5524376396291371,17.984904506931827,0.019970812034900667,,,,
2023,222,12,,,,0.12187922486849616,,,
2023,222,15,0.35123354053962436,10.954451150103324,0.02605848123825417,,,,
2023,222,16,0.35123354053962436,10.954451150103324,0.02605848123825417,,,,
2023,222,17,0.35123354053962436,10.954451150103324,0.02605848123825417,,,,
2023,222,3,,,,,0.0283600586969232,,
2023,222,4,,,,,0.0283600586969232,,
2023,222,5,,,,,0.0283600586969232,,
2023,222,7,0.6689066535108701,22.022715545545243,0.03809374401832056,,,,
2023,222,8,0.6689066535108701,22.022715545545243,0.03809374401832056,,,,
2023,222,9,0.6689066535108701,22.022715545545243,0.03809374401832056,,,,
2023,228,12,,,,0.04459979163786995,,,
