timestamp,date,time,hour,minute,logger.id,tree.id,leaf,population,leaf.temp,air.temp,rh,windspeed,delta.t,svp,lsvp,vpd,vpd.kpa,air.vpd,air.vpd.kpa
7/25/23 14:00,7/25/23,14:00:00,14,0,1,67,2,JLA,41.38,43.45,13.77,1.27,-2.07,8843.33,7934.66,6716.94,6.72,7625.60,7.63
7/25/23 14:30,7/25/23,14:30:00,14,30,1,67,2,JLA,41.78,44.09,13.06,2.46,-2.31,9141.85,8103.67,6909.75,6.91,7947.92,7.95
7/25/23 15:00,7/25/23,15:00:00,15,0,1,67,2,JLA,41.82,44.42,12.31,3.2,-2.6,9299.14,8120.74,6976.02,6.98,8154.42,8.15
7/25/23 15:30,7/25/23,15:30:00,15,30,1,67,2,JLA,41.84,45.22,11.64,2.16,-3.38,9690.17,8129.29,7001.35,7.00,8562.24,8.56
7/25/23 16:00,7/25/23,16:00:00,16,0,1,67,2,JLA,41.2,44.44,12.17,2.04,-3.24,9308.75,7859.61,6726.73,6.73,8175.87,8.18
7/25/23 16:30,7/25/23,16:30:00,16,30,1,67,2,JLA,40.88,44.68,11.47,1.66,-3.8,9424.71,7727.69,6646.68,6.65,8343.69,8.34
7/25/23 17:00,7/25/23,17:00:00,17,0,1,67,2,JLA,40.69,44.85,11.04,1.87,-4.16,9507.59,7650.27,6600.63,6.60,8457.96,8.46
7/25/23 17:30,7/25/23,17:30:00,17,30,1,67,2,JLA,43.25,44.44,11.59,2.36,-1.19,9308.75,8751.78,7672.90,7.67,8229.86,8.23
7/25/23 18:00,7/25/23,18:00:00,18,0,1,67,2,JLA,42.91,44.32,11.76,2.13,-1.41,9251.23,8598.03,7510.09,7.51,8163.29,8.16
7/26/23 14:00,7/26/23,14:00:00,14,0,1,67,2,JLA,41.77,44.23,13.88,3.34,-2.46,9208.29,8099.41,6821.30,6.82,7930.18,7.93
7/26/23 14:30,7/26/23,14:30:00,14,30,1,67,2,JLA,42.09,43.78,13.62,3.44,-1.69,8996.18,8236.79,7011.51,7.01,7770.90,7.77
7/26/23 15:00,7/26/23,15:00:00,15,0,1,67,2,JLA,42.22,44.24,13.22,3.23,-2.02,9213.06,8293.17,7075.20,7.08,7995.09,8.00
7/26/23 15:30,7/26/23,15:30:00,15,30,1,67,2,JLA,42.1,44.61,13.18,3.01,-2.51,9390.76,8241.11,7003.41,7.00,8153.05,8.15
7/26/23 16:00,7/26/23,16:00:00,16,0,1,67,2,JLA,42.14,44.92,12.96,3.08,-2.78,9541.91,8258.43,7021.80,7.02,8305.28,8.31
7/26/23 16:30,7/26/23,16:30:00,16,30,1,67,2,JLA,,44.33,12.47,3.44,,,,,,,
7/26/23 17:00,7/26/23,17:00:00,17,0,1,67,2,JLA,,44.8,12.15,2.96,,,,,,,
7/26/23 17:30,7/26/23,17:30:00,17,30,1,67,2,JLA,,44.88,12,3.17,,,,,,,
7/26/23 18:00,7/26/23,18:00:00,18,0,1,67,2,JLA,,44.09,12.66,3.44,,,,,,,
7/27/23 14:00,7/27/23,14:00:00,14,0,1,67,2,JLA,,40.84,16.77,1.1,,,,,,,
7/27/23 14:30,7/27/23,14:30:00,14,30,1,67,2,JLA,,41.59,14.98,2.9,,,,,,,
7/27/23 15:00,7/27/23,15:00:00,15,0,1,67,2,JLA,,41.97,15.41,2.56,,,,,,,
7/27/23 15:30,7/27/23,15:30:00,15,30,1,67,2,JLA,,42.69,13.91,2.71,,,,,,,
7/27/23 16:00,7/27/23,16:00:00,16,0,1,67,2,JLA,,42.85,13.93,2.19,,,,,,,
7/27/23 16:30,7/27/23,16:30:00,16,30,1,67,2,JLA,,43.12,13.79,3.61,,,,,,,
7/27/23 17:00,7/27/23,17:00:00,17,0,1,67,2,JLA,,43.14,13.22,2.81,,,,,,,
7/27/23 17:30,7/27/23,17:30:00,17,30,1,67,2,JLA,,43.15,13.29,2.26,,,,,,,
7/27/23 18:00,7/27/23,18:00:00,18,0,1,67,2,JLA,,42.93,14.14,2.17,,,,,,,
7/28/23 14:00,7/28/23,14:00:00,14,0,1,67,2,JLA,,42.14,18.83,0.45,,,,,,,
